orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
1112,Mathew Reese,First Class,61.544,7,0.6,-40.0036,Consumer,Central,Illinois,Furnishings                                       ,Furniture,3,Montag,6,2013,6,6,2013,3
1113,Mathew Reese,Standard Class,109.9,5,0,37.366,Corporate,West,Washington,Furnishings                                       ,Furniture,22,Donnerstag,1,2015,28,1,2015,6
1114,Mathew Reese,Standard Class,8.792,1,0.6,-5.7148,Consumer,Central,Illinois,Furnishings                                       ,Furniture,20,Mittwoch,7,2016,26,7,2016,6
1115,Cari Sayre,Standard Class,20.94,3,0,6.0726,Corporate,East,New York,Furnishings                                       ,Furniture,5,Montag,12,2016,11,12,2016,6
1116,Jim Karlsson,Standard Class,48.86,7,0,14.1694,Consumer,West,California,Furnishings                                       ,Furniture,9,Sonntag,6,2013,14,6,2013,5
1117,Jim Karlsson,Same Day,27.92,4,0,8.0968,Corporate,West,California,Furnishings                                       ,Furniture,17,Sonntag,1,2016,17,1,2016,0
1118,Ralph Arnett,First Class,41.88,6,0,12.1452,Corporate,West,California,Furnishings                                       ,Furniture,6,Freitag,9,2013,9,9,2013,3
1119,Ralph Arnett,Standard Class,20.94,3,0,6.0726,Home Office,South,Kentucky,Furnishings                                       ,Furniture,24,Donnerstag,7,2014,28,7,2014,4
1120,Ralph Arnett,Standard Class,529.9,5,0,105.98,Consumer,West,California,Furnishings                                       ,Furniture,15,Donnerstag,9,2016,19,9,2016,4
1121,John Grady,Standard Class,254.352,3,0.2,0,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,16,Samstag,8,2014,20,8,2014,4
1122,Christina Vanderzanden,Second Class,211.96,2,0,42.392,Corporate,East,Delaware,Furnishings                                       ,Furniture,9,Samstag,5,2015,14,5,2015,5
1123,Patrick O'Brill,Standard Class,169.568,2,0.2,0,Home Office,West,Arizona,Furnishings                                       ,Furniture,10,Samstag,10,2015,15,10,2015,5
1124,Patrick O'Brill,Standard Class,508.704,6,0.2,0,Corporate,West,Colorado,Furnishings                                       ,Furniture,2,Freitag,12,2016,6,12,2016,4
1125,Pauline Chand,Standard Class,254.352,3,0.2,0,Home Office,East,Pennsylvania,Furnishings                                       ,Furniture,22,Freitag,4,2016,26,4,2016,4
1126,Pauline Chand,Standard Class,339.136,4,0.2,0,Consumer,South,Florida,Furnishings                                       ,Furniture,15,Dienstag,11,2016,20,11,2016,5
1127,David Philippe,Standard Class,32.04,3,0,8.01,Consumer,West,California,Furnishings                                       ,Furniture,20,Donnerstag,11,2014,24,11,2014,4
1128,David Philippe,First Class,8.544,2,0.6,-7.476,Consumer,Central,Illinois,Furnishings                                       ,Furniture,18,Montag,11,2013,21,11,2013,3
1129,David Philippe,Standard Class,8.544,2,0.6,-7.476,Corporate,Central,Illinois,Furnishings                                       ,Furniture,15,Sonntag,12,2013,21,12,2013,6
1130,James Lanier,Standard Class,17.088,2,0.2,1.068,Corporate,South,North Carolina,Furnishings                                       ,Furniture,21,Montag,9,2015,26,9,2015,5
1131,Peter Fuller,Standard Class,17.088,2,0.2,1.068,Consumer,South,Florida,Furnishings                                       ,Furniture,12,Sonntag,6,2016,19,6,2016,7
1132,Marc Crier,First Class,17.088,2,0.2,1.068,Corporate,South,North Carolina,Furnishings                                       ,Furniture,30,Sonntag,11,2014,3,12,2014,3
1133,Darren Koutras,First Class,8.544,2,0.6,-7.476,Home Office,Central,Texas,Furnishings                                       ,Furniture,21,Samstag,9,2013,23,9,2013,2
1134,Patrick O'Brill,Standard Class,58.36,5,0.6,-24.803,Corporate,Central,Texas,Furnishings                                       ,Furniture,2,Montag,12,2013,6,12,2013,4
1135,Ellis Ballard,Standard Class,145.9,5,0,62.737,Consumer,West,California,Furnishings                                       ,Furniture,8,Mittwoch,10,2014,12,10,2014,4
1136,Jason Klamczynski,Standard Class,87.54,3,0,37.6422,Corporate,East,New Jersey,Furnishings                                       ,Furniture,27,Freitag,9,2013,3,10,2013,6
1137,Jason Klamczynski,First Class,145.9,5,0,62.737,Home Office,West,California,Furnishings                                       ,Furniture,8,Freitag,7,2016,11,7,2016,3
1138,Gary Hwang,Standard Class,19.52,2,0.2,5.368,Corporate,South,Tennessee,Furnishings                                       ,Furniture,30,Donnerstag,6,2016,4,7,2016,4
1139,Karen Seio,First Class,19.52,2,0.2,5.368,Corporate,South,Florida,Furnishings                                       ,Furniture,5,Freitag,7,2013,8,7,2013,3
1140,Karen Seio,Standard Class,24.4,2,0,10.248,Corporate,West,California,Furnishings                                       ,Furniture,18,Donnerstag,9,2014,23,9,2014,5
1141,Karl Brown,Standard Class,36.6,3,0,15.372,Consumer,West,California,Furnishings                                       ,Furniture,17,Montag,11,2014,21,11,2014,4
1142,Karl Brown,Standard Class,109.8,9,0,46.116,Home Office,South,Virginia,Furnishings                                       ,Furniture,5,Mittwoch,8,2015,9,8,2015,4
1143,Jas O'Carroll,Second Class,61,5,0,25.62,Home Office,South,Kentucky,Furnishings                                       ,Furniture,31,Donnerstag,3,2016,2,4,2016,2
1144,Jennifer Patt,First Class,151.72,4,0,27.3096,Consumer,West,California,Furnishings                                       ,Furniture,24,Sonntag,11,2013,26,11,2013,2
1145,Jennifer Patt,Second Class,91.032,3,0.2,-2.2758,Consumer,South,Florida,Furnishings                                       ,Furniture,27,Mittwoch,7,2016,31,7,2016,4
1146,Brendan Sweed,Standard Class,121.376,4,0.2,-3.0344,Consumer,West,Arizona,Furnishings                                       ,Furniture,8,Donnerstag,8,2013,14,8,2013,6
1147,Brendan Sweed,Second Class,30.344,2,0.6,-31.8612,Consumer,Central,Illinois,Furnishings                                       ,Furniture,29,Mittwoch,4,2015,1,5,2015,2
1148,Meg Tillman,First Class,113.79,3,0,20.4822,Consumer,East,New York,Furnishings                                       ,Furniture,5,Samstag,12,2015,6,12,2015,1
1149,Tamara Manning,Standard Class,37.93,1,0,6.8274,Corporate,East,New York,Furnishings                                       ,Furniture,24,Samstag,12,2016,29,12,2016,5
1150,Olvera Toch,Standard Class,24.96,3,0.2,4.368,Corporate,West,Colorado,Furnishings                                       ,Furniture,14,Mittwoch,10,2015,18,10,2015,4
1151,Olvera Toch,Standard Class,41.6,4,0,14.144,Consumer,West,California,Furnishings                                       ,Furniture,7,Donnerstag,5,2015,11,5,2015,4
1152,Olvera Toch,Standard Class,6.16,2,0,2.9568,Consumer,Central,Indiana,Furnishings                                       ,Furniture,18,Freitag,4,2014,22,4,2014,4
1153,Emily Grady,First Class,4.928,4,0.6,-1.4784,Corporate,Central,Texas,Furnishings                                       ,Furniture,21,Sonntag,9,2014,24,9,2014,3
1154,Sylvia Foulston,Standard Class,43.12,14,0,20.6976,Consumer,West,California,Furnishings                                       ,Furniture,14,Mittwoch,10,2015,20,10,2015,6
1155,Nicole Fjeld,Second Class,8.624,7,0.6,-2.5872,Consumer,Central,Texas,Furnishings                                       ,Furniture,16,Montag,12,2013,18,12,2013,2
1156,Nicole Hansen,Standard Class,6.16,2,0,2.9568,Corporate,Central,Minnesota,Furnishings                                       ,Furniture,5,Freitag,9,2014,10,9,2014,5
1157,Nicole Hansen,Second Class,9.24,3,0,4.4352,Consumer,West,California,Furnishings                                       ,Furniture,12,Donnerstag,12,2013,15,12,2013,3
1158,Becky Martin,Second Class,6.16,2,0,2.9568,Home Office,West,Washington,Furnishings                                       ,Furniture,29,Sonntag,9,2013,1,10,2013,2
1159,Becky Martin,First Class,6.16,2,0,2.9568,Consumer,East,New York,Furnishings                                       ,Furniture,9,Samstag,8,2014,12,8,2014,3
1160,Eva Jacobs,Standard Class,9.24,3,0,4.4352,Consumer,West,California,Furnishings                                       ,Furniture,28,Mittwoch,9,2016,4,10,2016,6
1161,Eva Jacobs,Second Class,15.4,5,0,7.392,Consumer,South,Louisiana,Furnishings                                       ,Furniture,6,Samstag,8,2016,10,8,2016,4
1162,Christine Phan,Second Class,18.69,7,0,7.1022,Consumer,South,Virginia,Furnishings                                       ,Furniture,2,Montag,2,2015,4,2,2015,2
1163,Robert Marley,Standard Class,21.36,8,0,8.1168,Corporate,South,Alabama,Furnishings                                       ,Furniture,8,Montag,9,2014,14,9,2014,6
1164,Robert Marley,Standard Class,8.544,4,0.2,1.9224,Home Office,West,Arizona,Furnishings                                       ,Furniture,24,Samstag,12,2016,31,12,2016,7
1165,Fred McMath,Standard Class,16.02,6,0,6.0876,Corporate,West,California,Furnishings                                       ,Furniture,20,Montag,10,2014,24,10,2014,4
1166,Fred McMath,First Class,8.01,3,0,3.0438,Consumer,South,Louisiana,Furnishings                                       ,Furniture,30,Montag,5,2016,31,5,2016,1
1167,Trudy Schmidt,Standard Class,4.272,2,0.2,0.9612,Consumer,West,Arizona,Furnishings                                       ,Furniture,24,Montag,6,2013,28,6,2013,4
1168,Barbara Fisher,Standard Class,10.68,4,0,4.0584,Consumer,East,Delaware,Furnishings                                       ,Furniture,26,Montag,8,2013,1,9,2013,6
1169,Barbara Fisher,Standard Class,6.408,3,0.2,1.4418,Corporate,South,Florida,Furnishings                                       ,Furniture,12,Mittwoch,3,2014,17,3,2014,5
1170,Nora Price,Second Class,15.232,1,0.2,1.7136,Corporate,West,Colorado,Furnishings                                       ,Furniture,13,Sonntag,9,2015,15,9,2015,2
1171,Meg O'Connel,Standard Class,45.696,3,0.2,5.1408,Consumer,South,Florida,Furnishings                                       ,Furniture,15,Freitag,3,2013,19,3,2013,4
1172,Meg O'Connel,Standard Class,22.848,3,0.6,-17.7072,Home Office,Central,Texas,Furnishings                                       ,Furniture,12,Samstag,11,2016,18,11,2016,6
1173,Cynthia Voltz,Second Class,95.2,5,0,27.608,Corporate,Central,Wisconsin,Furnishings                                       ,Furniture,26,Sonntag,7,2015,29,7,2015,3
1174,Lisa DeCherney,Standard Class,38.08,5,0.6,-29.512,Corporate,Central,Texas,Furnishings                                       ,Furniture,4,Sonntag,10,2015,8,10,2015,4
1175,Joseph Airdo,Standard Class,45.696,3,0.2,5.1408,Home Office,South,Florida,Furnishings                                       ,Furniture,21,Freitag,10,2016,26,10,2016,5
1176,Joseph Airdo,Second Class,12.42,3,0,4.4712,Consumer,West,Washington,Furnishings                                       ,Furniture,18,Samstag,7,2015,23,7,2015,5
1177,David Kendrick,Standard Class,12.42,3,0,4.4712,Home Office,South,Virginia,Furnishings                                       ,Furniture,26,Samstag,1,2013,31,1,2013,5
1178,Roy Phan,Second Class,8.28,2,0,2.9808,Corporate,East,New Jersey,Furnishings                                       ,Furniture,31,Samstag,5,2014,2,6,2014,2
1179,Tom Boeckenhauer,Standard Class,12.42,3,0,4.4712,Consumer,West,California,Furnishings                                       ,Furniture,16,Mittwoch,11,2016,20,11,2016,4
1180,Patrick Ryan,Standard Class,3.312,1,0.2,0.6624,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,2,Mittwoch,11,2016,6,11,2016,4
1181,Patrick Ryan,Second Class,2.784,2,0.2,0.4176,Consumer,South,Florida,Furnishings                                       ,Furniture,23,Dienstag,8,2016,26,8,2016,3
1182,Emily Ducich,Second Class,6.96,4,0,2.2272,Consumer,West,California,Furnishings                                       ,Furniture,12,Donnerstag,11,2015,17,11,2015,5
1183,Emily Ducich,First Class,12.18,7,0,3.8976,Corporate,West,Washington,Furnishings                                       ,Furniture,4,Samstag,5,2013,7,5,2013,3
1184,Emily Ducich,Standard Class,8.352,6,0.2,1.2528,Corporate,East,Ohio,Furnishings                                       ,Furniture,8,Donnerstag,5,2014,14,5,2014,6
1185,Emily Ducich,Standard Class,3.48,2,0,1.1136,Consumer,West,California,Furnishings                                       ,Furniture,26,Donnerstag,12,2013,30,12,2013,4
1186,Speros Goranitis,Standard Class,77.6,4,0,38.024,Consumer,West,California,Furnishings                                       ,Furniture,13,Montag,1,2014,17,1,2014,4
1187,Ken Black,Standard Class,58.2,3,0,28.518,Consumer,West,California,Furnishings                                       ,Furniture,1,Sonntag,12,2013,5,12,2013,4
1188,Roland Murray,First Class,135.8,7,0,66.542,Corporate,East,New York,Furnishings                                       ,Furniture,21,Samstag,2,2015,22,2,2015,1
1189,Quincy Jones,Standard Class,77.6,4,0,38.024,Corporate,East,New Jersey,Furnishings                                       ,Furniture,29,Donnerstag,10,2015,4,11,2015,6
1190,Quincy Jones,Standard Class,77.6,5,0.2,28.13,Consumer,East,Ohio,Furnishings                                       ,Furniture,20,Sonntag,11,2016,26,11,2016,6
1191,Rose O'Brian,Second Class,7.76,1,0.6,-2.134,Consumer,Central,Illinois,Furnishings                                       ,Furniture,12,Samstag,7,2014,17,7,2014,5
1192,Rose O'Brian,Standard Class,17.024,2,0.2,1.7024,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,9,Freitag,9,2016,13,9,2016,4
1193,Tamara Dahlen,Standard Class,53.2,5,0,14.896,Consumer,West,California,Furnishings                                       ,Furniture,10,Sonntag,11,2013,16,11,2013,6
1194,Tamara Dahlen,Standard Class,51.072,6,0.2,5.1072,Home Office,East,Pennsylvania,Furnishings                                       ,Furniture,14,Samstag,6,2014,18,6,2014,4
1195,Resi Polking,Standard Class,227.36,7,0,81.8496,Consumer,West,California,Furnishings                                       ,Furniture,30,Donnerstag,1,2014,6,2,2014,7
1196,Sally Matthias,First Class,51.968,2,0.2,10.3936,Consumer,East,Ohio,Furnishings                                       ,Furniture,4,Montag,5,2015,6,5,2015,2
1197,Thomas Brumley,Standard Class,97.44,3,0,35.0784,Consumer,East,New York,Furnishings                                       ,Furniture,22,Sonntag,9,2013,29,9,2013,7
1198,Thomas Brumley,Standard Class,77.952,3,0.2,15.5904,Consumer,East,Ohio,Furnishings                                       ,Furniture,22,Sonntag,11,2015,27,11,2015,5
1199,Suzanne McNair,First Class,51.968,2,0.2,10.3936,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,20,Mittwoch,4,2016,23,4,2016,3
1200,William Brown,Second Class,77.952,3,0.2,15.5904,Consumer,South,North Carolina,Furnishings                                       ,Furniture,28,Freitag,10,2016,30,10,2016,2
1201,William Brown,First Class,51.968,2,0.2,10.3936,Consumer,West,Arizona,Furnishings                                       ,Furniture,20,Freitag,12,2013,22,12,2013,2
1202,Natalie Webber,Same Day,31.56,3,0,10.4148,Consumer,West,California,Furnishings                                       ,Furniture,13,Mittwoch,8,2014,13,8,2014,0
1203,Natalie Webber,Second Class,31.56,3,0,10.4148,Consumer,West,California,Furnishings                                       ,Furniture,23,Donnerstag,4,2015,27,4,2015,4
1204,Giulietta Dortch,Standard Class,94.68,9,0,31.2444,Consumer,West,California,Furnishings                                       ,Furniture,3,Donnerstag,9,2015,7,9,2015,4
1205,Nicole Hansen,Second Class,25.248,3,0.2,4.1028,Consumer,South,Florida,Furnishings                                       ,Furniture,21,Montag,1,2013,23,1,2013,2
1206,Ken Lonsdale,Standard Class,31.56,3,0,10.4148,Corporate,East,New Jersey,Furnishings                                       ,Furniture,28,Samstag,11,2015,3,12,2015,5
1207,Ken Lonsdale,Standard Class,50.496,6,0.2,8.2056,Corporate,South,Florida,Furnishings                                       ,Furniture,5,Donnerstag,11,2015,10,11,2015,5
1208,James Lanier,Standard Class,18.92,4,0,7.3788,Home Office,South,Mississippi,Furnishings                                       ,Furniture,21,Montag,12,2015,25,12,2015,4
1209,Cindy Chapman,First Class,9.46,2,0,3.6894,Consumer,West,California,Furnishings                                       ,Furniture,14,Freitag,10,2016,17,10,2016,3
1210,Cindy Chapman,Same Day,14.19,3,0,5.5341,Consumer,West,Washington,Furnishings                                       ,Furniture,13,Freitag,9,2013,13,9,2013,0
1211,Mathew Reese,Standard Class,33.11,7,0,12.9129,Corporate,West,California,Furnishings                                       ,Furniture,6,Samstag,4,2013,12,4,2013,6
1212,Barry Pond,Standard Class,33.11,7,0,12.9129,Consumer,South,Kentucky,Furnishings                                       ,Furniture,28,Dienstag,10,2014,3,11,2014,6
1213,Georgia Rosenberg,Standard Class,1.892,1,0.6,-0.9933,Corporate,Central,Illinois,Furnishings                                       ,Furniture,18,Mittwoch,5,2016,22,5,2016,4
1214,Tony Molinari,First Class,11.352,3,0.2,2.6961,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,4,Sonntag,12,2016,5,12,2016,1
1215,Lori Olson,Second Class,15.136,4,0.2,3.5948,Corporate,West,Colorado,Furnishings                                       ,Furniture,13,Sonntag,9,2015,15,9,2015,2
1216,Lori Olson,Standard Class,41.96,2,0,10.9096,Consumer,West,California,Furnishings                                       ,Furniture,23,Mittwoch,12,2015,29,12,2015,6
1217,Christine Phan,Standard Class,41.96,2,0,10.9096,Corporate,East,New York,Furnishings                                       ,Furniture,25,Sonntag,12,2016,30,12,2016,5
1218,Christine Phan,Standard Class,41.96,2,0,10.9096,Consumer,West,California,Furnishings                                       ,Furniture,12,Donnerstag,11,2015,17,11,2015,5
1219,Jessica Myrick,First Class,41.96,2,0,10.9096,Consumer,East,New York,Furnishings                                       ,Furniture,5,Montag,12,2016,8,12,2016,3
1220,Jessica Myrick,Second Class,83.92,4,0,21.8192,Home Office,East,New York,Furnishings                                       ,Furniture,3,Montag,10,2016,5,10,2016,2
1221,Shahid Shariari,Second Class,14.8,4,0,6.068,Corporate,West,Washington,Furnishings                                       ,Furniture,12,Samstag,12,2015,17,12,2015,5
1222,Shahid Shariari,Standard Class,2.96,2,0.6,-1.406,Corporate,Central,Illinois,Furnishings                                       ,Furniture,28,Mittwoch,12,2016,1,1,2017,4
1223,Shahid Shariari,Standard Class,11.84,4,0.2,3.108,Consumer,West,Oregon,Furnishings                                       ,Furniture,23,Mittwoch,12,2015,29,12,2015,6
1224,Stewart Visinsky,Standard Class,22.2,6,0,9.102,Home Office,East,Connecticut,Furnishings                                       ,Furniture,31,Samstag,5,2014,7,6,2014,7
1225,Christopher Schild,Standard Class,7.4,2,0,3.034,Corporate,West,Washington,Furnishings                                       ,Furniture,28,Mittwoch,12,2016,2,1,2017,5
1226,Beth Paige,Standard Class,2.96,1,0.2,0.777,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,3,Mittwoch,12,2014,7,12,2014,4
1227,Beth Paige,Standard Class,22.2,6,0,9.102,Consumer,South,Arkansas,Furnishings                                       ,Furniture,1,Samstag,6,2013,6,6,2013,5
1228,Beth Paige,Standard Class,23.68,8,0.2,6.216,Corporate,South,Florida,Furnishings                                       ,Furniture,30,Samstag,4,2016,5,5,2016,5
1229,Beth Paige,Standard Class,6.368,2,0.6,-2.5472,Corporate,Central,Texas,Furnishings                                       ,Furniture,23,Samstag,11,2013,27,11,2013,4
1230,Beth Paige,Second Class,23.88,3,0,10.5072,Consumer,West,Washington,Furnishings                                       ,Furniture,27,Mittwoch,7,2016,1,8,2016,5
1231,Tanja Norvell,First Class,19.104,3,0.2,5.7312,Consumer,South,Florida,Furnishings                                       ,Furniture,10,Samstag,12,2016,12,12,2016,2
1232,Tony Sayre,Same Day,15.92,2,0,7.0048,Home Office,Central,Nebraska,Furnishings                                       ,Furniture,21,Mittwoch,12,2016,21,12,2016,0
1233,Tony Sayre,First Class,22.288,7,0.6,-8.9152,Corporate,Central,Illinois,Furnishings                                       ,Furniture,4,Sonntag,5,2014,5,5,2014,1
1234,Linda Southworth,Second Class,9.552,3,0.6,-3.8208,Corporate,Central,Texas,Furnishings                                       ,Furniture,17,Freitag,7,2015,19,7,2015,2
1235,Linda Southworth,Standard Class,63.68,8,0,28.0192,Consumer,East,New York,Furnishings                                       ,Furniture,8,Freitag,5,2015,12,5,2015,4
1236,Linda Southworth,Standard Class,25.472,4,0.2,7.6416,Consumer,East,Pennsylvania,Furnishings                                       ,Furniture,3,Sonntag,4,2016,7,4,2016,4
1237,Julia Barnett,Second Class,9.552,3,0.6,-3.8208,Home Office,Central,Texas,Furnishings                                       ,Furniture,19,Mittwoch,8,2015,21,8,2015,2
1238,Katherine Murray,Second Class,23.88,3,0,10.5072,Corporate,West,California,Furnishings                                       ,Furniture,25,Montag,11,2013,27,11,2013,2
1239,Katherine Murray,Standard Class,7.996,1,0.6,-6.9965,Home Office,Central,Texas,Furnishings                                       ,Furniture,11,Mittwoch,5,2016,17,5,2016,6
1240,Katherine Murray,Second Class,15.992,1,0.2,0.9995,Corporate,South,Tennessee,Furnishings                                       ,Furniture,3,Donnerstag,11,2016,5,11,2016,2
1241,Roy French,Standard Class,31.984,2,0.2,1.999,Corporate,South,North Carolina,Furnishings                                       ,Furniture,4,Samstag,6,2016,10,6,2016,6
1242,Michael Nguyen,First Class,31.984,2,0.2,1.999,Consumer,South,Florida,Furnishings                                       ,Furniture,5,Donnerstag,9,2013,7,9,2013,2
1243,Michael Granlund,Standard Class,39.98,2,0,9.995,Consumer,East,New York,Furnishings                                       ,Furniture,3,Donnerstag,9,2015,7,9,2015,4
1244,Eric Barreto,Second Class,15.992,2,0.6,-13.993,Consumer,Central,Texas,Furnishings                                       ,Furniture,19,Samstag,11,2016,21,11,2016,2
1245,Eric Barreto,First Class,98.328,3,0.2,9.8328,Home Office,West,Colorado,Furnishings                                       ,Furniture,23,Sonntag,8,2015,24,8,2015,1
1246,Russell Applegate,Second Class,327.76,8,0,91.7728,Home Office,West,California,Furnishings                                       ,Furniture,13,Donnerstag,3,2014,18,3,2014,5
1247,Russell Applegate,Standard Class,327.76,8,0,91.7728,Consumer,West,California,Furnishings                                       ,Furniture,8,Donnerstag,8,2013,15,8,2013,7
1248,Steven Roelle,Standard Class,122.91,3,0,34.4148,Corporate,West,California,Furnishings                                       ,Furniture,14,Mittwoch,5,2014,19,5,2014,5
1249,Adam Hart,First Class,32.776,1,0.2,3.2776,Home Office,West,Colorado,Furnishings                                       ,Furniture,28,Mittwoch,9,2016,1,10,2016,3
1250,Adam Hart,Standard Class,204.85,5,0,57.358,Consumer,West,California,Furnishings                                       ,Furniture,25,Mittwoch,6,2014,30,6,2014,5
1251,Jeremy Pistek,Standard Class,122.352,3,0.2,15.294,Home Office,South,Florida,Furnishings                                       ,Furniture,18,Montag,3,2013,23,3,2013,5
1252,Jeremy Pistek,First Class,254.9,5,0,76.47,Consumer,East,New Jersey,Furnishings                                       ,Furniture,10,Dienstag,9,2013,13,9,2013,3
1253,Cyra Reiten,Standard Class,163.136,4,0.2,20.392,Consumer,South,North Carolina,Furnishings                                       ,Furniture,20,Dienstag,5,2014,24,5,2014,4
1254,Tracy Hopkins,Second Class,40.784,2,0.6,-30.588,Corporate,Central,Texas,Furnishings                                       ,Furniture,9,Sonntag,2,2014,11,2,2014,2
1255,Matt Collins,Standard Class,53.352,3,0.2,16.0056,Corporate,South,Tennessee,Furnishings                                       ,Furniture,27,Samstag,12,2014,31,12,2014,4
1256,Henry Goldwyn,Standard Class,44.46,5,0.6,-17.784,Consumer,Central,Texas,Furnishings                                       ,Furniture,8,Sonntag,11,2015,13,11,2015,5
1257,Henry Goldwyn,Second Class,111.15,5,0,48.906,Consumer,East,Massachusetts,Furnishings                                       ,Furniture,2,Mittwoch,12,2015,7,12,2015,5
1258,Sylvia Foulston,Standard Class,111.15,5,0,48.906,Home Office,South,Virginia,Furnishings                                       ,Furniture,24,Sonntag,11,2013,29,11,2013,5
1259,Bryan Davis,Standard Class,22.23,1,0,9.7812,Consumer,East,New York,Furnishings                                       ,Furniture,30,Donnerstag,6,2016,6,7,2016,6
1260,Steven Cartwright,Standard Class,133.38,6,0,58.6872,Consumer,South,Mississippi,Furnishings                                       ,Furniture,15,Dienstag,12,2015,20,12,2015,5
1261,Ken Lonsdale,Standard Class,35.92,4,0,15.0864,Consumer,East,New York,Furnishings                                       ,Furniture,20,Mittwoch,5,2015,25,5,2015,5
1262,Daniel Lacy,Standard Class,10.776,3,0.6,-4.8492,Consumer,Central,Illinois,Furnishings                                       ,Furniture,6,Freitag,12,2013,10,12,2013,4
1263,Daniel Lacy,Standard Class,53.88,6,0,22.6296,Home Office,Central,Michigan,Furnishings                                       ,Furniture,8,Donnerstag,8,2013,12,8,2013,4
1264,Roy French,Standard Class,14.368,2,0.2,3.9512,Consumer,West,Arizona,Furnishings                                       ,Furniture,20,Samstag,12,2014,24,12,2014,4
1265,Craig Leslie,Standard Class,14.368,2,0.2,3.9512,Consumer,West,Arizona,Furnishings                                       ,Furniture,4,Mittwoch,2,2015,8,2,2015,4
1266,Craig Leslie,Standard Class,26.94,3,0,11.3148,Consumer,Central,Wisconsin,Furnishings                                       ,Furniture,27,Mittwoch,5,2015,31,5,2015,4
1267,Christopher Conant,Same Day,14.368,2,0.2,3.9512,Corporate,East,Pennsylvania,Furnishings                                       ,Furniture,24,Dienstag,11,2015,24,11,2015,0
1268,Christopher Conant,Standard Class,8.92,4,0,3.9248,Home Office,East,New Jersey,Furnishings                                       ,Furniture,11,Donnerstag,9,2014,18,9,2014,7
1269,Ionia McGrath,Standard Class,8.92,4,0,3.9248,Corporate,South,Arkansas,Furnishings                                       ,Furniture,11,Freitag,10,2013,15,10,2013,4
1270,Michelle Tran,Standard Class,14.272,8,0.2,4.2816,Consumer,South,North Carolina,Furnishings                                       ,Furniture,22,Donnerstag,1,2015,28,1,2015,6
1271,Alejandro Ballentine,First Class,5.352,3,0.2,1.6056,Consumer,East,Ohio,Furnishings                                       ,Furniture,19,Samstag,9,2015,21,9,2015,2
1272,Alejandro Ballentine,First Class,14.56,2,0,5.5328,Home Office,West,Nevada,Furnishings                                       ,Furniture,8,Freitag,2,2013,9,2,2013,1
1273,Alejandro Ballentine,Standard Class,8.736,3,0.6,-4.8048,Home Office,Central,Illinois,Furnishings                                       ,Furniture,29,Sonntag,12,2013,2,1,2014,4
1274,Giulietta Dortch,Second Class,36.4,5,0,13.832,Corporate,West,California,Furnishings                                       ,Furniture,4,Donnerstag,12,2014,9,12,2014,5
1275,Daniel Lacy,Second Class,282.84,4,0,19.7988,Consumer,West,California,Furnishings                                       ,Furniture,17,Sonntag,5,2015,20,5,2015,3
1276,Craig Leslie,Standard Class,141.42,5,0.6,-187.3815,Consumer,Central,Texas,Furnishings                                       ,Furniture,2,Samstag,1,2016,6,1,2016,4
1277,Alan Hwang,Standard Class,56.568,2,0.6,-74.9526,Consumer,Central,Texas,Furnishings                                       ,Furniture,16,Montag,12,2013,21,12,2013,5
1278,Alan Hwang,First Class,70.71,1,0,4.9497,Consumer,East,New York,Furnishings                                       ,Furniture,2,Montag,9,2013,5,9,2013,3
1279,David Philippe,Same Day,212.13,3,0,14.8491,Consumer,Central,Michigan,Furnishings                                       ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
1280,Tonja Turnell,First Class,47.04,3,0,18.3456,Consumer,East,New York,Furnishings                                       ,Furniture,9,Samstag,8,2014,12,8,2014,3
1281,Steven Cartwright,Standard Class,62.72,4,0,24.4608,Consumer,South,Georgia,Furnishings                                       ,Furniture,27,Mittwoch,1,2016,1,2,2016,5
1282,Christy Brittain,First Class,47.04,3,0,18.3456,Consumer,East,Delaware,Furnishings                                       ,Furniture,13,Samstag,6,2015,16,6,2015,3
1283,Christy Brittain,Standard Class,13.96,2,0,6.7008,Consumer,East,New York,Furnishings                                       ,Furniture,4,Dienstag,6,2013,9,6,2013,5
1284,Michelle Tran,Standard Class,6.98,1,0,3.3504,Home Office,West,California,Furnishings                                       ,Furniture,20,Freitag,5,2016,24,5,2016,4
1285,Darren Budd,Standard Class,13.96,2,0,6.7008,Corporate,East,New York,Furnishings                                       ,Furniture,6,Sonntag,7,2014,10,7,2014,4
1286,Darren Budd,Standard Class,22.336,4,0.2,7.8176,Home Office,East,Ohio,Furnishings                                       ,Furniture,23,Dienstag,4,2013,27,4,2013,4
1287,John Dryer,Standard Class,5.584,2,0.6,-1.6752,Consumer,Central,Illinois,Furnishings                                       ,Furniture,28,Donnerstag,5,2015,1,6,2015,4
